id_comparacao;id_hospital;imag_medica;tempo_espera;cuidados;exp_pacientes;read_nacional;seguranca_nac;mortalidade_nac;data_comparacao
1548;180035;Above the national average;Same as the national average;Same as the national average;Above the national average;Below the national average;Above the national average;Above the national average;2017-05-20
1549;171339;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1550;190307;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1551;200020;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
1552;210002;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1553;140089;Below the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1554;170039;Not Available;Above the national average;Below the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1555;210034;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1556;170110;Not Available;Above the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1557;180064;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1558;180132;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;2017-05-20
1559;110168;Same as the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
1560;190251;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1561;190064;Same as the national average;Below the national average;Same as the national average;Above the national average;Above the national average;Below the national average;Below the national average;2017-05-20
1562;171301;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1563;150059;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1564;190263;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1565;141318;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1566;110190;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1567;140030;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Above the national average;Above the national average;2017-05-20
1568;160147;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
